date,source,title,url,snippet
2025-11-05,Yabiladi.com,Revolut names former Mastercard executive Yacine Faqir as CEO for Morocco - Yabiladi.com,https://news.google.com/rss/articles/CBMimgFBVV95cUxPMGxWWkZVVURvOGJYMFV2Zl9yTlhROVcwdVN4ZzFjbmNvOW1WalBNSmtwc1VVbE9CeUtpbnhBMzBTM2JjV293ZW1qd0pwRFhFVGNldnY4dU9adG1CYzlWM0pBREZwMktyRWF6ZFVTb2xBc1lsVGFTaTZjQW9hRkRFaW9mTkxrY0YwejJJdzExNkMxNjBNMzhsRi13?oc=5,"<a href=""https://news.google.com/rss/articles/CBMimgFBVV95cUxPMGxWWkZVVURvOGJYMFV2Zl9yTlhROVcwdVN4ZzFjbmNvOW1WalBNSmtwc1VVbE9CeUtpbnhBMzBTM2JjV293ZW1qd0pwRFhFVGNldnY4dU9adG1CYzlWM0pBREZwMktyRWF6ZFVTb2xBc1lsVGFTaTZjQW9hRkRFaW9mTkxrY0YwejJJdzExNkMxNjBNMzhsRi13?oc=5"" target=""_blank"">Revolut names former Mastercard executive Yacine Faqir as CEO for Morocco</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yabiladi.com</font>"
2025-11-05,Axios,Inside Revolut's U.S. bank charter and growth plan - Axios,https://news.google.com/rss/articles/CBMiiAFBVV95cUxOLU1PMmJEeHMzTVBZdEswNTdEM1hGMG1BSWVGbldwVzVJUlpTNEpPTlRGTVdlUE1ESUtOMEVCYTZMOHYyR1FLbnhzUUtWSlIxSVhNOFFtRVJ5Nzh0NmJIRzhpWlRVV202X2JhSUc4VW41OVdDYVk0RmdsR1ZVcEhqR1R4SGFUT0Ut?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiiAFBVV95cUxOLU1PMmJEeHMzTVBZdEswNTdEM1hGMG1BSWVGbldwVzVJUlpTNEpPTlRGTVdlUE1ESUtOMEVCYTZMOHYyR1FLbnhzUUtWSlIxSVhNOFFtRVJ5Nzh0NmJIRzhpWlRVV202X2JhSUc4VW41OVdDYVk0RmdsR1ZVcEhqR1R4SGFUT0Ut?oc=5"" target=""_blank"">Inside Revolut's U.S. bank charter and growth plan</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Axios</font>"
2025-11-05,Techpoint Africa,Revolut appoints Yacine Faqir as CEO to lead Moroccan expansion - Techpoint Africa,https://news.google.com/rss/articles/CBMicEFVX3lxTE0xbm9qc0lURTJWalBKdlh6ZC1vYkZkcTJMbmZ3Q2diZ0VybHEtckJ5dGFOd1R0ZG93YVMtYWpiVHBuUEhfUmRwdGwwNzZ3ZGh1bTY5bWhDMVRHeDBFWjRVMXMyOXVVT0RNVFBYY0hPZ0I?oc=5,"<a href=""https://news.google.com/rss/articles/CBMicEFVX3lxTE0xbm9qc0lURTJWalBKdlh6ZC1vYkZkcTJMbmZ3Q2diZ0VybHEtckJ5dGFOd1R0ZG93YVMtYWpiVHBuUEhfUmRwdGwwNzZ3ZGh1bTY5bWhDMVRHeDBFWjRVMXMyOXVVT0RNVFBYY0hPZ0I?oc=5"" target=""_blank"">Revolut appoints Yacine Faqir as CEO to lead Moroccan expansion</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Techpoint Africa</font>"
2025-11-05,TechAfrica News,Revolut Expands North African Presence with Appointment of Yacine Faqir as Morocco CEO - TechAfrica News,https://news.google.com/rss/articles/CBMiwwFBVV95cUxNYm42ajl2MlZhM2JRUmxIQnNCQXpMaTdhZC1qenRzZGRNRWVaQUplLTZZQThmbGptS3U0Rzg5MC05RUZqUE5LUFZ1eE93Y1RkRnBUalpTMXFrU3M5UURHME9nOG50ZTZRT0NtRHdIU3dUQlhqU2pRSDBRdy12YVg2WTVfSS1fS2swTWJEb1RLYzRETjg3Zl9UT3VFbjVKTTFrbDZtTl9ZMGU1U2dvREpHZEs2V0FNRXduc0F0SGxXM1BnUUE?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiwwFBVV95cUxNYm42ajl2MlZhM2JRUmxIQnNCQXpMaTdhZC1qenRzZGRNRWVaQUplLTZZQThmbGptS3U0Rzg5MC05RUZqUE5LUFZ1eE93Y1RkRnBUalpTMXFrU3M5UURHME9nOG50ZTZRT0NtRHdIU3dUQlhqU2pRSDBRdy12YVg2WTVfSS1fS2swTWJEb1RLYzRETjg3Zl9UT3VFbjVKTTFrbDZtTl9ZMGU1U2dvREpHZEs2V0FNRXduc0F0SGxXM1BnUUE?oc=5"" target=""_blank"">Revolut Expands North African Presence with Appointment of Yacine Faqir as Morocco CEO</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TechAfrica News</font>"
2025-11-05,Finance in Africa,"Revolut names ex-Mastercard exec, Yacine Faqir, as Morocco CEO, deepens North Africa expansion - Finance in Africa",https://news.google.com/rss/articles/CBMieEFVX3lxTFBWRWM0RDlPNWF2TGVzeWtBSlB6VGhadmI4akxPdTFMY3dPU2stNWVSMWVYaGUxajI2UjB1d2p1N2J6WUZmZHZZa2g5bGtfTjlzY0w4QkV6X1ZCVFhsNlNFYnFVakFnTzVZcWk5VDZZY2hxcHQ4NldXeA?oc=5,"<a href=""https://news.google.com/rss/articles/CBMieEFVX3lxTFBWRWM0RDlPNWF2TGVzeWtBSlB6VGhadmI4akxPdTFMY3dPU2stNWVSMWVYaGUxajI2UjB1d2p1N2J6WUZmZHZZa2g5bGtfTjlzY0w4QkV6X1ZCVFhsNlNFYnFVakFnTzVZcWk5VDZZY2hxcHQ4NldXeA?oc=5"" target=""_blank"">Revolut names ex-Mastercard exec, Yacine Faqir, as Morocco CEO, deepens North Africa expansion</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Finance in Africa</font>"
2025-11-05,Tech Labari,Revolut Taps Former Mastercard Exec Yacine Faqir to Lead Morocco Expansion - Tech Labari,https://news.google.com/rss/articles/CBMinwFBVV95cUxOOHlWY2MxejBiTm9kdURlUmxTRWdaV1M4YVZmWFFLR0o2bUJwY1FiNm5FOVhtUm1NaUc1WVBqbzR0Z2l3cklwd083bXBnZldLeDByWmlqdXlLekVUSjRRWUM3MldyUHhEYU15dlpEZ1RYQS0zUFZtTms3RnhjdmNJdng5SUNGMkhEa0xMdjU3dFNTTktycE1QZDM4NE5WYjg?oc=5,"<a href=""https://news.google.com/rss/articles/CBMinwFBVV95cUxOOHlWY2MxejBiTm9kdURlUmxTRWdaV1M4YVZmWFFLR0o2bUJwY1FiNm5FOVhtUm1NaUc1WVBqbzR0Z2l3cklwd083bXBnZldLeDByWmlqdXlLekVUSjRRWUM3MldyUHhEYU15dlpEZ1RYQS0zUFZtTms3RnhjdmNJdng5SUNGMkhEa0xMdjU3dFNTTktycE1QZDM4NE5WYjg?oc=5"" target=""_blank"">Revolut Taps Former Mastercard Exec Yacine Faqir to Lead Morocco Expansion</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Tech Labari</font>"
2025-11-05,business-review.eu,Revolut Study: What Romanians say about the safety of online shopping on Black Friday - business-review.eu,https://news.google.com/rss/articles/CBMi1AFBVV95cUxOcS1ZWWZFUGQxNUVySGdmVUptU2hnTDh2U0FJem1FX3RRRHFyNjZzVE9yT2tYYWUxeUlZRk1Lc3ZoN1FSUUhfMHQyV1BsR2pSRjlxSUR2NlpfMFdINXpGbDFWeVJySmh4UUFMVFo1WW5sQkZTSHdROFdzSm01aENJT25nQ2Y4ZEU0Y2xxOFJ6NEhWYlpURm1uX0ptOWRqV01UbFN5Z05kblFVTEE3QXdhUDNteXA3TlljXzVoM1Q5QUdIYnFpSHVHSkhJN3RVdnREd2Z3OA?oc=5,"<a href=""https://news.google.com/rss/articles/CBMi1AFBVV95cUxOcS1ZWWZFUGQxNUVySGdmVUptU2hnTDh2U0FJem1FX3RRRHFyNjZzVE9yT2tYYWUxeUlZRk1Lc3ZoN1FSUUhfMHQyV1BsR2pSRjlxSUR2NlpfMFdINXpGbDFWeVJySmh4UUFMVFo1WW5sQkZTSHdROFdzSm01aENJT25nQ2Y4ZEU0Y2xxOFJ6NEhWYlpURm1uX0ptOWRqV01UbFN5Z05kblFVTEE3QXdhUDNteXA3TlljXzVoM1Q5QUdIYnFpSHVHSkhJN3RVdnREd2Z3OA?oc=5"" target=""_blank"">Revolut Study: What Romanians say about the safety of online shopping on Black Friday</a>&nbsp;&nbsp;<font color=""#6f6f6f"">business-review.eu</font>"
2025-11-04,bobsguide.com,Revolut’s zero-fee stablecoin swaps: what changes for payments now - bobsguide.com,https://news.google.com/rss/articles/CBMilgFBVV95cUxPcUt6RGNsWHZhOU5GNWFkMDhjd0RZYmloR1MzVldBZU9BX2Vlc2N1Y0xwZEg2dGZGdUI1Z1ZnZnYxNi1nVWE0QzdfcU9uRHQyUmF3akp3UExpNGhoSGpFSHVwaGxHdjQ5SkhfWlZuVHlJX3V1dEJXXzJOa051OGNxWlZrcHRObUpGTlZNQk9uWmgwd3hkN2c?oc=5,"<a href=""https://news.google.com/rss/articles/CBMilgFBVV95cUxPcUt6RGNsWHZhOU5GNWFkMDhjd0RZYmloR1MzVldBZU9BX2Vlc2N1Y0xwZEg2dGZGdUI1Z1ZnZnYxNi1nVWE0QzdfcU9uRHQyUmF3akp3UExpNGhoSGpFSHVwaGxHdjQ5SkhfWlZuVHlJX3V1dEJXXzJOa051OGNxWlZrcHRObUpGTlZNQk9uWmgwd3hkN2c?oc=5"" target=""_blank"">Revolut’s zero-fee stablecoin swaps: what changes for payments now</a>&nbsp;&nbsp;<font color=""#6f6f6f"">bobsguide.com</font>"
2025-11-03,Meduza,Russian clients living in the E.U. struggle to regain banking access after fintech company Revolut freezes accounts - Meduza,https://news.google.com/rss/articles/CBMi6gFBVV95cUxPZXdEQlA5aDNvYkNuT0lRUkxvWGwxRjM4cXFPMTYxOXhOWmt1OW14dVh4LTh0YUtJWDVxM1ZUYzltSzZySV85T0RNd2haYmZDMmNlU1J5MVlyMzFYcGFCMFgwNm82M1FvNWo3WTdiOUp3V3pYWUdUTDE3ZWtjYThRenZTRVBKMlRpZTNjOG1JaTJ3bTRwNGV2dmdBb0o5cDZoSk5XY3N0eTlFUGhBWUhuc3c1V2d1WEc3S3gwa2ZCcTZjN1JXWUdXVi1xdDJISVZsNEt5bGxBRnBHanY2OGFrZEVYM2M5Q05qTmfSAe8BQVVfeXFMTTVaOHZhVlV4Vy1FLTR0YTRlb0Etdm1IVUxCUVl2Um8wbTAtV2NSOFBUal9EckdHUzJYaGhmU2tJRTNJWmpuZjE1X3VCQ1cxbkJaQ1JmN1JMSm91X2FVRUFldWM1c0ZteFhCYzNPUTdqbEpIQ2J1OTNGRk54aWRZLUI5N3BkNEp1Z3FzY2J5N1l4bE5WdGxNQUtkT2NpQ2NIcG5JcjVfelNqTm8yalpPTDRqeDBDZnhnSXhNVGVvM0NXQmR2YzNOckZEeS1RWEU2TVhFVzJoUGJxUFBJX2dUX2w1eWg5eENRU2k0MXFFOUE?oc=5,"<a href=""https://news.google.com/rss/articles/CBMi6gFBVV95cUxPZXdEQlA5aDNvYkNuT0lRUkxvWGwxRjM4cXFPMTYxOXhOWmt1OW14dVh4LTh0YUtJWDVxM1ZUYzltSzZySV85T0RNd2haYmZDMmNlU1J5MVlyMzFYcGFCMFgwNm82M1FvNWo3WTdiOUp3V3pYWUdUTDE3ZWtjYThRenZTRVBKMlRpZTNjOG1JaTJ3bTRwNGV2dmdBb0o5cDZoSk5XY3N0eTlFUGhBWUhuc3c1V2d1WEc3S3gwa2ZCcTZjN1JXWUdXVi1xdDJISVZsNEt5bGxBRnBHanY2OGFrZEVYM2M5Q05qTmfSAe8BQVVfeXFMTTVaOHZhVlV4Vy1FLTR0YTRlb0Etdm1IVUxCUVl2Um8wbTAtV2NSOFBUal9EckdHUzJYaGhmU2tJRTNJWmpuZjE1X3VCQ1cxbkJaQ1JmN1JMSm91X2FVRUFldWM1c0ZteFhCYzNPUTdqbEpIQ2J1OTNGRk54aWRZLUI5N3BkNEp1Z3FzY2J5N1l4bE5WdGxNQUtkT2NpQ2NIcG5JcjVfelNqTm8yalpPTDRqeDBDZnhnSXhNVGVvM0NXQmR2YzNOckZEeS1RWEU2TVhFVzJoUGJxUFBJX2dUX2w1eWg5eENRU2k0MXFFOUE?oc=5"" target=""_blank"">Russian clients living in the E.U. struggle to regain banking access after fintech company Revolut freezes accounts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Meduza</font>"
2025-11-03,FintechNews CH,Revolut Introduces 1:1 USD-to-Stablecoin Swaps Without Fees - FintechNews CH,https://news.google.com/rss/articles/CBMigwFBVV95cUxOcFFxbVBkdjdRS1RLQU9aT3dKbVVtVllwTGVfaTBuam5RalhJLUxpdE95UGxLc3lacVlPM0lBajk2dnRNS1pneTJ1Q2x5OWQtYXdNQldVYUtzTGktdEhLMEVjNEp3bFlURlRvWTRzYTNZQXJrdmVjci1FdDBqaTBuNFI1dw?oc=5,"<a href=""https://news.google.com/rss/articles/CBMigwFBVV95cUxOcFFxbVBkdjdRS1RLQU9aT3dKbVVtVllwTGVfaTBuam5RalhJLUxpdE95UGxLc3lacVlPM0lBajk2dnRNS1pneTJ1Q2x5OWQtYXdNQldVYUtzTGktdEhLMEVjNEp3bFlURlRvWTRzYTNZQXJrdmVjci1FdDBqaTBuNFI1dw?oc=5"" target=""_blank"">Revolut Introduces 1:1 USD-to-Stablecoin Swaps Without Fees</a>&nbsp;&nbsp;<font color=""#6f6f6f"">FintechNews CH</font>"
